name,isPartyConstant,partyCount,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isAlga,isAdilet,isOther,isDvijAtajurt,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser,idname
Балтабаев Ташболот,0,2,0,68,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,Ata Meken,",2,Independent,3.0,95
Балтабаев Ташболот,0,2,0,36,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,Ata Meken,",5,Ata Meken,3.0,95
Батыров Кадыржан Алымджанович,0,1,0,66,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Independent,,,",3,Independent,,96
Бекбоев Бакытбек Сагыналиевич,0,1,0,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,97
Бекбоев Замир Исакович,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ar-Namys,",5,Ar-Namys,,98
Бекенова Зулхабира,0,1,0,70,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,99
Бекешев Дастан Далабайевич,0,2,1,11,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ar-Namys,SDPK",5,Ar-Namys,1.0,100
Бекешев Дастан Далабайевич,0,2,1,139,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ar-Namys,SDPK",6,SDPK,1.0,100
Бекматов Абдыжапар Гапырович,0,1,0,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,,Republic,",5,Republic,,101
Бекназаров Азимбек Анаркулович,0,2,0,66,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,",Independent,other,,,",2,Independent,1.0,102
Бекназаров Азимбек Анаркулович,0,2,0,71,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,",Independent,other,,,",3,other,1.0,102
Бешимбаева Айгерим Кабылбековна,0,1,0,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,",,,,,Republic - Ata Jurt",6,Republic - Ata Jurt,,103
Бешимов Бактыбек Джолчубекович,0,1,0,89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,SDPK,,",4,SDPK,,104
Бокоев Кенжебек Сатымкулович,1,2,0,79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,,,Republic,Republic - Ata Jurt",5,Republic,1.0,105
Бокоев Кенжебек Сатымкулович,1,2,0,71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,,,Republic,Republic - Ata Jurt",6,Republic - Ata Jurt,1.0,105
Бокошев Жамгырбек,0,1,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,106
Боромбаева Токтокан Жолуевна,0,1,0,76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,107
Борубаев Алтай Асылканович,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,108
Булекбаев Эркин Касымович,0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,109
Бурканов Арзыбек Орозматович,0,2,1,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Alga Kyrgyzstan,Ak Jol,,",3,Alga Kyrgyzstan,1.0,110
Бурканов Арзыбек Орозматович,0,2,1,52,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Alga Kyrgyzstan,Ak Jol,,",4,Ak Jol,1.0,110
Бурханов Авдикаримходжа Ходжаевич,0,1,0,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,111
Васильев Лев Алексеевич,0,1,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",Independent,,,,",2,Independent,,112
Воробьев Борис Дмитриевич,0,1,0,62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,113
Гайпкулов Искандер Торобаевич,0,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",,,,,Ata Meken",6,Ata Meken,,114
Гогаев Борис Хамитович,0,2,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,Independent,,,,",1,Independent,1.0,115
Гогаев Борис Хамитович,0,2,0,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,Independent,,,,",2,Independent,1.0,115
Гринько Виктор Михайлович,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Independent,,,,,",1,Independent,,116
Гусаров Игорь Константинович,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,",,,,Ar-Namys,",5,Ar-Namys,,117
Данилов Юрий Анатольевич,0,2,0,63,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Independent,Ak Jol,,",3,Independent,1.0,118
Данилов Юрий Анатольевич,0,2,0,68,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,Independent,Ak Jol,,",4,Ak Jol,1.0,118
Дербишева Гульнара Толубаевна,0,1,0,67,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ak Jol,,",4,Ak Jol,,119
